Year,Country,Variable,Value
2000,Australia,Municipal waste generated,13200
2007,Australia,Municipal waste generated,12798.666
2008,Australia,Municipal waste generated,13027.542
2009,Australia,Municipal waste generated,13256.419
2010,Australia,Municipal waste generated,13515.592
2011,Australia,Municipal waste generated,13462.519
2012,Australia,Municipal waste generated,13344.891
2013,Australia,Municipal waste generated,13227.263
2014,Australia,Municipal waste generated,13109.635
2015,Australia,Municipal waste generated,13344.539
2000,Australia,Waste from households,7660
2003,Australia,Waste from households,8903
2015,Australia,Waste from households,12010
2003,Australia,Municipal waste treated,8903
2007,Australia,Municipal waste treated,12798.666
2008,Australia,Municipal waste treated,13027.542
2009,Australia,Municipal waste treated,13256.419
2010,Australia,Municipal waste treated,13515.592
2011,Australia,Municipal waste treated,13462.519
2012,Australia,Municipal waste treated,13344.891
2013,Australia,Municipal waste treated,13227.263
2014,Australia,Municipal waste treated,13109.635
2015,Australia,Municipal waste treated,13344.539
2003,Australia,Recycling,2701
2007,Australia,Recycling,4710.243
2008,Australia,Recycling,4971.787
2009,Australia,Recycling,5233.332
2010,Australia,Recycling,5404.171
2011,Australia,Recycling,5689.411
2012,Australia,Recycling,5636.739
2013,Australia,Recycling,5584.067
2014,Australia,Recycling,5531.395
2015,Australia,Recycling,5605.196
2003,Australia,Landfill,6202
2007,Australia,Landfill,7206.41
2008,Australia,Landfill,7163.31
2009,Australia,Landfill,7120.21
2010,Australia,Landfill,7039.32
2011,Australia,Landfill,6546.76
2012,Australia,Landfill,6365.2
2013,Australia,Landfill,6183.64
2014,Australia,Landfill,6002.07
2015,Australia,Landfill,6486.13
2000,Austria,Municipal waste generated,4321
2001,Austria,Municipal waste generated,4309
2002,Austria,Municipal waste generated,4589
2003,Austria,Municipal waste generated,4607
2004,Austria,Municipal waste generated,4686.7
2005,Austria,Municipal waste generated,4731.7
2006,Austria,Municipal waste generated,4932.5
2007,Austria,Municipal waste generated,4951.1
2008,Austria,Municipal waste generated,4996.9
2009,Austria,Municipal waste generated,4921
2010,Austria,Municipal waste generated,4700.8
2011,Austria,Municipal waste generated,4806.9
2012,Austria,Municipal waste generated,4883.3
2013,Austria,Municipal waste generated,4905.2
2014,Austria,Municipal waste generated,4832.5
2015,Austria,Municipal waste generated,4836
2016,Austria,Municipal waste generated,4928.4
2017,Austria,Municipal waste generated,5017.6
2000,Austria,Waste from households,3246
2001,Austria,Waste from households,3234
2002,Austria,Waste from households,3309
2003,Austria,Waste from households,3327
2004,Austria,Waste from households,3418.7
2005,Austria,Waste from households,3463.7
2006,Austria,Waste from households,3677.7
2007,Austria,Waste from households,3728
2008,Austria,Waste from households,3786
2009,Austria,Waste from households,3895
2010,Austria,Waste from households,3788.5
2011,Austria,Waste from households,3947.2
2012,Austria,Waste from households,4020.3
2013,Austria,Waste from households,4031.7
2014,Austria,Waste from households,4170.2
2015,Austria,Waste from households,4160
2016,Austria,Waste from households,4269
2017,Austria,Waste from households,4322
2000,Austria,Other municipal waste,1074.8
2001,Austria,Other municipal waste,1075
2002,Austria,Other municipal waste,1280
2003,Austria,Other municipal waste,1280
2004,Austria,Other municipal waste,1268
2005,Austria,Other municipal waste,1268
2006,Austria,Other municipal waste,1254.8
2007,Austria,Other municipal waste,1223
2008,Austria,Other municipal waste,1210.9
2009,Austria,Other municipal waste,1026
2010,Austria,Other municipal waste,912.3
2011,Austria,Other municipal waste,859.7
2012,Austria,Other municipal waste,863
2013,Austria,Other municipal waste,873.5
2014,Austria,Other municipal waste,662.3
2015,Austria,Other municipal waste,676
2016,Austria,Other municipal waste,659.4
2017,Austria,Other municipal waste,695.6
2000,Austria,Municipal waste treated,4744
2001,Austria,Municipal waste treated,4749
2002,Austria,Municipal waste treated,4821
2003,Austria,Municipal waste treated,4950
2004,Austria,Municipal waste treated,4625
2005,Austria,Municipal waste treated,4601.3
2006,Austria,Municipal waste treated,4834.2
2007,Austria,Municipal waste treated,4859.4
2008,Austria,Municipal waste treated,4888.7
2009,Austria,Municipal waste treated,4787.6
2010,Austria,Municipal waste treated,4581.7
2011,Austria,Municipal waste treated,4631.7
2012,Austria,Municipal waste treated,4718.2
2013,Austria,Municipal waste treated,4743.5
2014,Austria,Municipal waste treated,4673.2
2015,Austria,Municipal waste treated,4727.8
2016,Austria,Municipal waste treated,4825.2
2017,Austria,Municipal waste treated,4944.1
2000,Austria,Recycling,1129
2001,Austria,Recycling,1125
2002,Austria,Recycling,1115
2003,Austria,Recycling,1110
2004,Austria,Recycling,1116
2005,Austria,Recycling,1179.7
2006,Austria,Recycling,1258.5
2007,Austria,Recycling,1318
2008,Austria,Recycling,1476
2009,Austria,Recycling,1491.9
2010,Austria,Recycling,1272.2
2011,Austria,Recycling,1145.6
2012,Austria,Recycling,1168
2013,Austria,Recycling,1202.4
2014,Austria,Recycling,1231
2015,Austria,Recycling,1240.5
2016,Austria,Recycling,1253.8
2017,Austria,Recycling,1296.4
2000,Austria,Landfill,1572
2001,Austria,Landfill,1542
2002,Austria,Landfill,1512
2003,Austria,Landfill,1483
2004,Austria,Landfill,557
2005,Austria,Landfill,534.8
2006,Austria,Landfill,484.8
2007,Austria,Landfill,427.2
2008,Austria,Landfill,373.1
2009,Austria,Landfill,302.1
2010,Austria,Landfill,153.3
2011,Austria,Landfill,229.9
2012,Austria,Landfill,207.3
2013,Austria,Landfill,199
2014,Austria,Landfill,194.1
2015,Austria,Landfill,143.6
2016,Austria,Landfill,132.2
2017,Austria,Landfill,102.9
2000,Belgium,Municipal waste generated,4830
2001,Belgium,Municipal waste generated,4802
2002,Belgium,Municipal waste generated,4981
2003,Belgium,Municipal waste generated,4824
2004,Belgium,Municipal waste generated,5059
2005,Belgium,Municipal waste generated,5052
2006,Belgium,Municipal waste generated,5115
2007,Belgium,Municipal waste generated,5243
2008,Belgium,Municipal waste generated,5119
2009,Belgium,Municipal waste generated,5021
2010,Belgium,Municipal waste generated,4953
2011,Belgium,Municipal waste generated,5003
2012,Belgium,Municipal waste generated,4944
2013,Belgium,Municipal waste generated,4867
2014,Belgium,Municipal waste generated,4762
2015,Belgium,Municipal waste generated,4643
2016,Belgium,Municipal waste generated,4746
2017,Belgium,Municipal waste generated,4659
2000,Belgium,Waste from households,3863
2001,Belgium,Waste from households,3797
2002,Belgium,Waste from households,3829
2003,Belgium,Waste from households,3724
2004,Belgium,Waste from households,3894.7
2005,Belgium,Waste from households,3863.6
2006,Belgium,Waste from households,3916.6
2007,Belgium,Waste from households,4042.3
2008,Belgium,Waste from households,4031.9
2009,Belgium,Waste from households,4058.5
2010,Belgium,Waste from households,3897.29
2000,Belgium,Other municipal waste,967
2001,Belgium,Other municipal waste,1005
2002,Belgium,Other municipal waste,1152
2003,Belgium,Other municipal waste,1100
2004,Belgium,Other municipal waste,1164.3
2005,Belgium,Other municipal waste,1188.4
2006,Belgium,Other municipal waste,1198.4
2007,Belgium,Other municipal waste,1200.7
2008,Belgium,Other municipal waste,1102.1
2009,Belgium,Other municipal waste,978.5
2010,Belgium,Other municipal waste,1075.71
2000,Belgium,Municipal waste treated,4895
2001,Belgium,Municipal waste treated,4644
2002,Belgium,Municipal waste treated,4798
2003,Belgium,Municipal waste treated,4800
2004,Belgium,Municipal waste treated,5004
2005,Belgium,Municipal waste treated,5188
2006,Belgium,Municipal waste treated,4990
2007,Belgium,Municipal waste treated,5454
2008,Belgium,Municipal waste treated,4936
2009,Belgium,Municipal waste treated,4827
2010,Belgium,Municipal waste treated,4791
2011,Belgium,Municipal waste treated,4824
2012,Belgium,Municipal waste treated,4717
2013,Belgium,Municipal waste treated,4810
2014,Belgium,Municipal waste treated,4755
2015,Belgium,Municipal waste treated,4644
2016,Belgium,Municipal waste treated,4752
2017,Belgium,Municipal waste treated,4620
2000,Belgium,Recycling,1245
2001,Belgium,Recycling,1305
2002,Belgium,Recycling,1365
2003,Belgium,Recycling,1336
2004,Belgium,Recycling,1408
2005,Belgium,Recycling,1547
2006,Belgium,Recycling,1601
2007,Belgium,Recycling,1741
2008,Belgium,Recycling,1664
2009,Belgium,Recycling,1697
2010,Belgium,Recycling,1672
2011,Belgium,Recycling,1707
2012,Belgium,Recycling,1600
2013,Belgium,Recycling,1539
2014,Belgium,Recycling,1590
2015,Belgium,Recycling,1584
2016,Belgium,Recycling,1575
2017,Belgium,Recycling,1580
2000,Belgium,Landfill,936
2001,Belgium,Landfill,760
2002,Belgium,Landfill,575
2003,Belgium,Landfill,536
2004,Belgium,Landfill,590
2005,Belgium,Landfill,583
2006,Belgium,Landfill,492
2007,Belgium,Landfill,499
2008,Belgium,Landfill,212
2009,Belgium,Landfill,164
2010,Belgium,Landfill,87
2011,Belgium,Landfill,48
2012,Belgium,Landfill,32
2013,Belgium,Landfill,42
2014,Belgium,Landfill,46
2015,Belgium,Landfill,40
2016,Belgium,Landfill,38
2017,Belgium,Landfill,41
2000,Canada,Waste from households,11242.406
2002,Canada,Waste from households,11236.435
2004,Canada,Waste from households,12325.386
2006,Canada,Waste from households,13471.06
2008,Canada,Waste from households,13661.379
2010,Canada,Waste from households,13963.825
2012,Canada,Waste from households,14355.191
2014,Canada,Waste from households,14648.268
2016,Canada,Waste from households,15003.442
2000,Canada,Municipal waste treated,29307.41
2002,Canada,Municipal waste treated,30722.92
2004,Canada,Municipal waste treated,32339.5
2006,Canada,Municipal waste treated,34043.694
2008,Canada,Municipal waste treated,34237.047
2010,Canada,Municipal waste treated,33048.534
2012,Canada,Municipal waste treated,33146.119
2014,Canada,Municipal waste treated,33821.621
2016,Canada,Municipal waste treated,34191.448
2000,Canada,Recycling,5158.75
2002,Canada,Recycling,5330.76
2004,Canada,Recycling,5593.13
2006,Canada,Recycling,5720.57
2008,Canada,Recycling,5978.28
2010,Canada,Recycling,5883.635
2012,Canada,Recycling,6011.315
2014,Canada,Recycling,6368.438
2016,Canada,Recycling,6655.087
2000,Canada,Landfill,22010.43
2002,Canada,Landfill,22877.3
2004,Canada,Landfill,23965.43
2006,Canada,Landfill,25096.16
2008,Canada,Landfill,24630.152
2010,Canada,Landfill,23704.794
2012,Canada,Landfill,23447.4
2014,Canada,Landfill,23528.318
2016,Canada,Landfill,23693.71
2000,Czech Republic,Municipal waste generated,3434
2001,Czech Republic,Municipal waste generated,2798
2002,Czech Republic,Municipal waste generated,2845
2003,Czech Republic,Municipal waste generated,2857
2004,Czech Republic,Municipal waste generated,2841
2005,Czech Republic,Municipal waste generated,2954
2006,Czech Republic,Municipal waste generated,3039
2007,Czech Republic,Municipal waste generated,3025
2008,Czech Republic,Municipal waste generated,3176
2009,Czech Republic,Municipal waste generated,3310
2010,Czech Republic,Municipal waste generated,3334
2011,Czech Republic,Municipal waste generated,3358
2012,Czech Republic,Municipal waste generated,3233
2013,Czech Republic,Municipal waste generated,3228.23
2014,Czech Republic,Municipal waste generated,3260.58
2015,Czech Republic,Municipal waste generated,3337.34
2016,Czech Republic,Municipal waste generated,3579.61
2017,Czech Republic,Municipal waste generated,3642.96
2002,Czech Republic,Waste from households,1991.55
2003,Czech Republic,Waste from households,1999.68
2004,Czech Republic,Waste from households,1989
2005,Czech Republic,Waste from households,2067.58
2006,Czech Republic,Waste from households,2127.09
2007,Czech Republic,Waste from households,2117.35
2008,Czech Republic,Waste from households,2223.15
2009,Czech Republic,Waste from households,2316.77
2010,Czech Republic,Waste from households,2333.97
2011,Czech Republic,Waste from households,2350.51
2012,Czech Republic,Waste from households,2262.85
2013,Czech Republic,Waste from households,2263.31
2014,Czech Republic,Waste from households,2239.98
2015,Czech Republic,Waste from households,2242.15
2016,Czech Republic,Waste from households,2332.97
2017,Czech Republic,Waste from households,2373.68
2002,Czech Republic,Other municipal waste,853.52
2003,Czech Republic,Other municipal waste,857.01
2004,Czech Republic,Other municipal waste,852.43
2005,Czech Republic,Other municipal waste,886.1
2006,Czech Republic,Other municipal waste,911.61
2007,Czech Republic,Other municipal waste,907.43
2008,Czech Republic,Other municipal waste,952.78
2009,Czech Republic,Other municipal waste,992.9
2010,Czech Republic,Other municipal waste,1000.27
2011,Czech Republic,Other municipal waste,1007.36
2012,Czech Republic,Other municipal waste,969.79
2013,Czech Republic,Other municipal waste,964.93
2014,Czech Republic,Other municipal waste,1020.6
2015,Czech Republic,Other municipal waste,1095.19
2016,Czech Republic,Other municipal waste,1246.65
2017,Czech Republic,Other municipal waste,1269.28
2000,Czech Republic,Municipal waste treated,3250
2001,Czech Republic,Municipal waste treated,2582
2002,Czech Republic,Municipal waste treated,2523
2003,Czech Republic,Municipal waste treated,2475
2004,Czech Republic,Municipal waste treated,2396
2005,Czech Republic,Municipal waste treated,2495
2006,Czech Republic,Municipal waste treated,2659.22
2007,Czech Republic,Municipal waste treated,2817.37
2008,Czech Republic,Municipal waste treated,2756.66
2009,Czech Republic,Municipal waste treated,2894.47
2010,Czech Republic,Municipal waste treated,3186.39
2011,Czech Republic,Municipal waste treated,3346.34
2012,Czech Republic,Municipal waste treated,3232.64
2013,Czech Republic,Municipal waste treated,3228.23
2014,Czech Republic,Municipal waste treated,3260.58
2015,Czech Republic,Municipal waste treated,3337.34
2016,Czech Republic,Municipal waste treated,3579.61
2017,Czech Republic,Municipal waste treated,3642.96
2000,Czech Republic,Recycling,19
2001,Czech Republic,Recycling,15
2002,Czech Republic,Recycling,16
2003,Czech Republic,Recycling,16
2004,Czech Republic,Recycling,138
2005,Czech Republic,Recycling,166
2006,Czech Republic,Recycling,200.6
2007,Czech Republic,Recycling,276.08
2008,Czech Republic,Recycling,279.85
2009,Czech Republic,Recycling,352.79
2010,Czech Republic,Recycling,451.77
2011,Czech Republic,Recycling,495.7
2012,Czech Republic,Recycling,665.28
2013,Czech Republic,Recycling,685.92
2014,Czech Republic,Recycling,736.02
2015,Czech Republic,Recycling,850.91
2016,Czech Republic,Recycling,957.6
2017,Czech Republic,Recycling,981.93
2000,Czech Republic,Landfill,2900
2001,Czech Republic,Landfill,2200
2002,Czech Republic,Landfill,2097
2003,Czech Republic,Landfill,2049
2004,Czech Republic,Landfill,1838
2005,Czech Republic,Landfill,1934
2006,Czech Republic,Landfill,2043.29
2007,Czech Republic,Landfill,2120.53
2008,Czech Republic,Landfill,2057.43
2009,Czech Republic,Landfill,2113.89
2010,Czech Republic,Landfill,2161.8
2011,Czech Republic,Landfill,2167.04
2012,Czech Republic,Landfill,1827.87
2013,Czech Republic,Landfill,1815.1
2014,Czech Republic,Landfill,1826.97
2015,Czech Republic,Landfill,1755.44
2016,Czech Republic,Landfill,1789.37
2017,Czech Republic,Landfill,1765.36
2000,Denmark,Municipal waste generated,3546
2001,Denmark,Municipal waste generated,3519
2002,Denmark,Municipal waste generated,3568
2003,Denmark,Municipal waste generated,3618
2004,Denmark,Municipal waste generated,3757
2005,Denmark,Municipal waste generated,3990
2006,Denmark,Municipal waste generated,4021
2007,Denmark,Municipal waste generated,4313
2008,Denmark,Municipal waste generated,4560
2009,Denmark,Municipal waste generated,4206
2011,Denmark,Municipal waste generated,4349
2012,Denmark,Municipal waste generated,4421
2013,Denmark,Municipal waste generated,4437
2014,Denmark,Municipal waste generated,4450
2015,Denmark,Municipal waste generated,4485
2016,Denmark,Municipal waste generated,4484
2017,Denmark,Municipal waste generated,4503
2000,Denmark,Waste from households,3084
2001,Denmark,Waste from households,3083
2002,Denmark,Waste from households,3121
2003,Denmark,Waste from households,3009
2004,Denmark,Waste from households,3163
2005,Denmark,Waste from households,3337
2006,Denmark,Waste from households,3363
2007,Denmark,Waste from households,3607
2008,Denmark,Waste from households,3814
2009,Denmark,Waste from households,3437
2011,Denmark,Waste from households,3038
2012,Denmark,Waste from households,3204
2013,Denmark,Waste from households,3228
2014,Denmark,Waste from households,3275
2015,Denmark,Waste from households,3236
2016,Denmark,Waste from households,3323
2017,Denmark,Waste from households,3278
2000,Denmark,Other municipal waste,462
2001,Denmark,Other municipal waste,436
2002,Denmark,Other municipal waste,447
2003,Denmark,Other municipal waste,609
2004,Denmark,Other municipal waste,594
2005,Denmark,Other municipal waste,653
2006,Denmark,Other municipal waste,658
2007,Denmark,Other municipal waste,706
2008,Denmark,Other municipal waste,746
2009,Denmark,Other municipal waste,769
2011,Denmark,Other municipal waste,1311
2012,Denmark,Other municipal waste,1217
2013,Denmark,Other municipal waste,1209
2014,Denmark,Other municipal waste,1175
2015,Denmark,Other municipal waste,1249
2016,Denmark,Other municipal waste,1161
2017,Denmark,Other municipal waste,1225
2000,Denmark,Municipal waste treated,3546
2001,Denmark,Municipal waste treated,3519
2002,Denmark,Municipal waste treated,3568
2003,Denmark,Municipal waste treated,3618
2004,Denmark,Municipal waste treated,3757
2005,Denmark,Municipal waste treated,3990
2006,Denmark,Municipal waste treated,4021
2007,Denmark,Municipal waste treated,4313
2008,Denmark,Municipal waste treated,4560
2009,Denmark,Municipal waste treated,4206
2011,Denmark,Municipal waste treated,4348
2012,Denmark,Municipal waste treated,4421
2013,Denmark,Municipal waste treated,4437
2014,Denmark,Municipal waste treated,4450
2015,Denmark,Municipal waste treated,4485
2016,Denmark,Municipal waste treated,4484
2017,Denmark,Municipal waste treated,4503
2000,Denmark,Recycling,755
2001,Denmark,Recycling,787
2002,Denmark,Recycling,796
2003,Denmark,Recycling,926
2004,Denmark,Recycling,934
2005,Denmark,Recycling,977
2006,Denmark,Recycling,977
2007,Denmark,Recycling,1149
2008,Denmark,Recycling,1559
2009,Denmark,Recycling,1310
2011,Denmark,Recycling,1187
2012,Denmark,Recycling,1135
2013,Denmark,Recycling,1152
2014,Denmark,Recycling,1198
2015,Denmark,Recycling,1223
2016,Denmark,Recycling,1255
2017,Denmark,Recycling,1228
2000,Denmark,Landfill,355
2001,Denmark,Landfill,251
2002,Denmark,Landfill,218
2003,Denmark,Landfill,184
2004,Denmark,Landfill,169
2005,Denmark,Landfill,207
2006,Denmark,Landfill,203
2007,Denmark,Landfill,204
2008,Denmark,Landfill,175
2009,Denmark,Landfill,130
2011,Denmark,Landfill,111
2012,Denmark,Landfill,107
2013,Denmark,Landfill,78
2014,Denmark,Landfill,56
2015,Denmark,Landfill,51
2016,Denmark,Landfill,44
2017,Denmark,Landfill,38
2000,Finland,Municipal waste generated,2600
2001,Finland,Municipal waste generated,2412
2002,Finland,Municipal waste generated,2384.4
2003,Finland,Municipal waste generated,2427.9
2004,Finland,Municipal waste generated,2453.4
2005,Finland,Municipal waste generated,2505.8
2006,Finland,Municipal waste generated,2600.1
2007,Finland,Municipal waste generated,2674.9
2008,Finland,Municipal waste generated,2768
2009,Finland,Municipal waste generated,2562
2010,Finland,Municipal waste generated,2519
2011,Finland,Municipal waste generated,2719
2012,Finland,Municipal waste generated,2738
2013,Finland,Municipal waste generated,2681.55
2014,Finland,Municipal waste generated,2629.88
2015,Finland,Municipal waste generated,2738.28
2016,Finland,Municipal waste generated,2767.93
2017,Finland,Municipal waste generated,2811.59
2000,Finland,Waste from households,1040
2001,Finland,Waste from households,964.8
2002,Finland,Waste from households,953.8
2003,Finland,Waste from households,1024.4
2004,Finland,Waste from households,1203
2005,Finland,Waste from households,1228.6
2006,Finland,Waste from households,1274.9
2007,Finland,Waste from households,1500
2008,Finland,Waste from households,1552.2
2009,Finland,Waste from households,1436.9
2010,Finland,Waste from households,1412.6
2011,Finland,Waste from households,1523
2012,Finland,Waste from households,1533.33
2013,Finland,Waste from households,1501.67
2014,Finland,Waste from households,1472.73
2015,Finland,Waste from households,1768.93
2016,Finland,Waste from households,1799.15
2017,Finland,Waste from households,1827.53
2000,Finland,Other municipal waste,1560
2001,Finland,Other municipal waste,1447.2
2002,Finland,Other municipal waste,1430.7
2003,Finland,Other municipal waste,1403.5
2004,Finland,Other municipal waste,1250.5
2005,Finland,Other municipal waste,1277.2
2006,Finland,Other municipal waste,1325.2
2007,Finland,Other municipal waste,1174.9
2008,Finland,Other municipal waste,1215.8
2009,Finland,Other municipal waste,1125.1
2010,Finland,Other municipal waste,1106.4
2011,Finland,Other municipal waste,1196
2012,Finland,Other municipal waste,1204.67
2013,Finland,Other municipal waste,1179.88
2014,Finland,Other municipal waste,1157.15
2015,Finland,Other municipal waste,969.35
2016,Finland,Other municipal waste,968.78
2017,Finland,Other municipal waste,984.06
2000,Finland,Municipal waste treated,2723.83
2001,Finland,Municipal waste treated,2498.65
2002,Finland,Municipal waste treated,2502.69
2003,Finland,Municipal waste treated,2517.29
2004,Finland,Municipal waste treated,2532.47
2005,Finland,Municipal waste treated,2546.68
2006,Finland,Municipal waste treated,2600.1
2007,Finland,Municipal waste treated,2674.92
2008,Finland,Municipal waste treated,2832.48
2009,Finland,Municipal waste treated,2562.43
2010,Finland,Municipal waste treated,2519
2011,Finland,Municipal waste treated,2718
2012,Finland,Municipal waste treated,2738
2013,Finland,Municipal waste treated,2681.54
2014,Finland,Municipal waste treated,2629.88
2015,Finland,Municipal waste treated,2738.28
2016,Finland,Municipal waste treated,2767.93
2017,Finland,Municipal waste treated,2811.59
2000,Finland,Recycling,676.85
2001,Finland,Recycling,627.91
2002,Finland,Recycling,620.73
2003,Finland,Recycling,632.04
2004,Finland,Recycling,638.7
2005,Finland,Recycling,652
2006,Finland,Recycling,676.88
2007,Finland,Recycling,695.24
2008,Finland,Recycling,714.64
2009,Finland,Recycling,615.06
2010,Finland,Recycling,495
2011,Finland,Recycling,592
2012,Finland,Recycling,589
2013,Finland,Recycling,510.41
2014,Finland,Recycling,474.33
2015,Finland,Recycling,770.31
2016,Finland,Recycling,808.31
2017,Finland,Recycling,770.96
2000,Finland,Landfill,1580
2001,Finland,Landfill,1473
2002,Finland,Landfill,1485
2003,Finland,Landfill,1445
2004,Finland,Landfill,1423
2005,Finland,Landfill,1478
2006,Finland,Landfill,1503.91
2007,Finland,Landfill,1411.29
2008,Finland,Landfill,1406.1
2009,Finland,Landfill,1179.84
2010,Finland,Landfill,1136
2011,Finland,Landfill,1093
2012,Finland,Landfill,901
2013,Finland,Landfill,672.4
2014,Finland,Landfill,457.73
2015,Finland,Landfill,314.76
2016,Finland,Landfill,89.54
2017,Finland,Landfill,25.9
2000,France,Municipal waste generated,31232
2001,France,Municipal waste generated,32198
2002,France,Municipal waste generated,32684
2003,France,Municipal waste generated,31400
2004,France,Municipal waste generated,32444
2005,France,Municipal waste generated,33366
2006,France,Municipal waste generated,33990
2007,France,Municipal waste generated,34630
2008,France,Municipal waste generated,34714
2009,France,Municipal waste generated,34504
2010,France,Municipal waste generated,34609
2011,France,Municipal waste generated,34790
2012,France,Municipal waste generated,34484
2013,France,Municipal waste generated,34176
2014,France,Municipal waste generated,34230
2015,France,Municipal waste generated,34284
2016,France,Municipal waste generated,34339
2017,France,Municipal waste generated,34393
2000,France,Waste from households,24986
2001,France,Waste from households,25758
2002,France,Waste from households,26147
2003,France,Waste from households,25120
2004,France,Waste from households,25955
2005,France,Waste from households,26693
2006,France,Waste from households,27192
2007,France,Waste from households,27011
2008,France,Waste from households,27076
2009,France,Waste from households,26913
2010,France,Waste from households,26995
2011,France,Waste from households,27136
2012,France,Waste from households,26897
2013,France,Waste from households,26657
2014,France,Waste from households,26699
2015,France,Waste from households,26742
2016,France,Waste from households,26785
2017,France,Waste from households,26828
2000,France,Other municipal waste,6246
2001,France,Other municipal waste,6440
2002,France,Other municipal waste,6537
2003,France,Other municipal waste,6280
2004,France,Other municipal waste,6489
2005,France,Other municipal waste,6673
2006,France,Other municipal waste,6798
2007,France,Other municipal waste,7619
2008,France,Other municipal waste,7638
2009,France,Other municipal waste,7591
2010,France,Other municipal waste,7614
2011,France,Other municipal waste,7654
2012,France,Other municipal waste,7587
2013,France,Other municipal waste,7519
2014,France,Other municipal waste,7531
2015,France,Other municipal waste,7542
2016,France,Other municipal waste,7554
2017,France,Other municipal waste,7565
2000,France,Municipal waste treated,31232
2001,France,Municipal waste treated,32198
2002,France,Municipal waste treated,32684
2003,France,Municipal waste treated,31400
2004,France,Municipal waste treated,32444
2005,France,Municipal waste treated,33366
2006,France,Municipal waste treated,33990
2007,France,Municipal waste treated,34629
2008,France,Municipal waste treated,34714
2009,France,Municipal waste treated,34504
2010,France,Municipal waste treated,34609
2011,France,Municipal waste treated,34790
2012,France,Municipal waste treated,34484
2013,France,Municipal waste treated,34176
2014,France,Municipal waste treated,34230
2015,France,Municipal waste treated,34284
2016,France,Municipal waste treated,34339
2017,France,Municipal waste treated,34393
2000,France,Recycling,4045
2001,France,Recycling,4410
2002,France,Recycling,4715
2003,France,Recycling,4725
2004,France,Recycling,4970
2005,France,Recycling,5365
2006,France,Recycling,5661
2007,France,Recycling,5964
2008,France,Recycling,5972
2009,France,Recycling,6004
2010,France,Recycling,6937
2011,France,Recycling,7184
2012,France,Recycling,7293
2013,France,Recycling,7402
2014,France,Recycling,7610
2015,France,Recycling,7817
2016,France,Recycling,8025
2017,France,Recycling,8232
2000,France,Landfill,13320
2001,France,Landfill,13117
2002,France,Landfill,12651
2003,France,Landfill,11944
2004,France,Landfill,11767
2005,France,Landfill,11465
2006,France,Landfill,12318
2007,France,Landfill,12372
2008,France,Landfill,10995
2009,France,Landfill,10802
2010,France,Landfill,10078
2011,France,Landfill,9731
2012,France,Landfill,9281
2013,France,Landfill,8830
2014,France,Landfill,8478
2015,France,Landfill,8127
2016,France,Landfill,7775
2017,France,Landfill,7424
2000,Germany,Municipal waste generated,52810
2001,Germany,Municipal waste generated,52075
2002,Germany,Municipal waste generated,52772
2003,Germany,Municipal waste generated,49622
2004,Germany,Municipal waste generated,48434
2005,Germany,Municipal waste generated,46555
2006,Germany,Municipal waste generated,46426
2007,Germany,Municipal waste generated,47887
2008,Germany,Municipal waste generated,48367
2009,Germany,Municipal waste generated,48466
2010,Germany,Municipal waste generated,49237
2011,Germany,Municipal waste generated,50237
2012,Germany,Municipal waste generated,49759
2013,Germany,Municipal waste generated,49570
2014,Germany,Municipal waste generated,51102
2015,Germany,Municipal waste generated,51625
2016,Germany,Municipal waste generated,52133
2017,Germany,Municipal waste generated,52342
2000,Germany,Waste from households,40345
2001,Germany,Waste from households,38963
2002,Germany,Waste from households,46660
2003,Germany,Waste from households,43931
2004,Germany,Waste from households,43149
2005,Germany,Waste from households,41412
2006,Germany,Waste from households,40827
2007,Germany,Waste from households,41750
2008,Germany,Waste from households,43215
2009,Germany,Waste from households,43230
2010,Germany,Waste from households,43556
2011,Germany,Waste from households,44045
2012,Germany,Waste from households,36472
2013,Germany,Waste from households,36624
2014,Germany,Waste from households,36888
2015,Germany,Waste from households,37376
2016,Germany,Waste from households,37410
2017,Germany,Waste from households,38274
2000,Germany,Other municipal waste,12465
2001,Germany,Other municipal waste,13112
2002,Germany,Other municipal waste,6112
2003,Germany,Other municipal waste,5691
2004,Germany,Other municipal waste,5284
2005,Germany,Other municipal waste,5143
2006,Germany,Other municipal waste,5598
2007,Germany,Other municipal waste,6138
2008,Germany,Other municipal waste,5152
2009,Germany,Other municipal waste,5236
2010,Germany,Other municipal waste,5681
2011,Germany,Other municipal waste,6193
2012,Germany,Other municipal waste,13287
2013,Germany,Other municipal waste,12946
2014,Germany,Other municipal waste,14214
2015,Germany,Other municipal waste,14249
2016,Germany,Other municipal waste,14723
2017,Germany,Other municipal waste,14068
2000,Germany,Municipal waste treated,52810
2001,Germany,Municipal waste treated,52075
2002,Germany,Municipal waste treated,52771
2003,Germany,Municipal waste treated,49622
