Country,Year,Variable,Unit,Value
France,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82
France,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82
France,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82
France,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82.1
France,2015,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82
France,2016,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82
Netherlands,1970,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,44
Netherlands,1980,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,86.5
Netherlands,2000,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Netherlands,2005,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Netherlands,2010,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Netherlands,2011,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Netherlands,2012,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Netherlands,2013,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Netherlands,2014,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Netherlands,2015,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Netherlands,2016,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Netherlands,2017,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
England and Wales,1980,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82
England and Wales,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,94.59999847
England and Wales,2005,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99.34999847
England and Wales,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99.5
England and Wales,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,98.5
England and Wales,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,100
Sweden,1980,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,97
Sweden,2000,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,99
Sweden,2005,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Sweden,2010,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Sweden,2011,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Sweden,2012,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Sweden,2013,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Sweden,2014,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Sweden,2015,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Sweden,2016,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Sweden,2017,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Israel,1980,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,57.70000076
Israel,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,86.6
Israel,2005,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,92.9
Israel,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,95.5
Israel,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,96
Israel,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,96.3
Israel,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,96.6
Israel,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,96.7
Israel,2015,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,96.8
Israel,2016,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,96.8
Israel,2017,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,96.69999695
Belgium,1970,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,3.799999952
Belgium,1980,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,22.89999962
Belgium,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,41.16740036
Belgium,2005,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,54.39670181
Belgium,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,74.9759545
Belgium,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,77.19466117
Belgium,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,75
Belgium,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,76.5
Belgium,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,78.3
Belgium,2015,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,80.4
Belgium,2016,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,81.9
Belgium,2017,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,83
Greece,2010,Population connected to independent treatment,Percentage,0
Greece,2011,Population connected to independent treatment,Percentage,0
Greece,2012,Population connected to independent treatment,Percentage,0
Luxembourg,2010,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,98.7
Luxembourg,2011,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Luxembourg,2012,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Luxembourg,2013,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Luxembourg,2014,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,99
Luxembourg,2015,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,98.5
New Zealand,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,80.8
New Zealand,2005,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,81.3
New Zealand,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,81.8
New Zealand,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82
New Zealand,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82
New Zealand,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82
New Zealand,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82
New Zealand,2015,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,84.1
New Zealand,2016,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,84.1
Japan,1980,Connected to a wastewater treatment plant without treatment,Percentage,0
Japan,2000,Connected to a wastewater treatment plant without treatment,Percentage,0
Japan,2005,Connected to a wastewater treatment plant without treatment,Percentage,0
Japan,2010,Connected to a wastewater treatment plant without treatment,Percentage,0
Japan,2011,Connected to a wastewater treatment plant without treatment,Percentage,0
Japan,2012,Connected to a wastewater treatment plant without treatment,Percentage,0
Japan,2013,Connected to a wastewater treatment plant without treatment,Percentage,0
Japan,2014,Connected to a wastewater treatment plant without treatment,Percentage,0
Japan,2015,Connected to a wastewater treatment plant without treatment,Percentage,0
Japan,2016,Connected to a wastewater treatment plant without treatment,Percentage,0
Slovenia,2000,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,71.42000122
Slovenia,2005,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,85.12000122
Slovenia,2010,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,86.93166351
Slovenia,2011,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,89.59101868
Slovenia,2012,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,88.91999817
Slovenia,2013,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,90.31999969
Slovenia,2014,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,90.51999664
Slovenia,2015,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,91.72000122
Slovenia,2016,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,92
Slovenia,2017,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,95.7
Czech Republic,1980,Population connected to independent treatment,Percentage,34.59999847
Czech Republic,2000,Population connected to independent treatment,Percentage,2.4
Czech Republic,2005,Population connected to independent treatment,Percentage,2.4
Czech Republic,2010,Population connected to independent treatment,Percentage,2.4
Czech Republic,2011,Population connected to independent treatment,Percentage,2.4
Czech Republic,2012,Population connected to independent treatment,Percentage,0
Czech Republic,2013,Population connected to independent treatment,Percentage,0
Czech Republic,2014,Population connected to independent treatment,Percentage,0
Czech Republic,2015,Population connected to independent treatment,Percentage,0
Czech Republic,2016,Population connected to independent treatment,Percentage,0
Czech Republic,2017,Population connected to independent treatment,Percentage,0
Iceland,2000,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,39
Iceland,2005,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,63
Iceland,2010,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,73
Japan,1970,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,16
Japan,1980,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,30
Japan,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,62
Japan,2005,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,69.25640106
Japan,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,75.09999847
Japan,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,75.80000305
Japan,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,76.3
Japan,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,77
Japan,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,77.6
Japan,2015,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,77.8
Japan,2016,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,78.3
England and Wales,1980,Tertiary treatment,Percentage,25
England and Wales,2000,Tertiary treatment,Percentage,27
England and Wales,2005,Tertiary treatment,Percentage,42.9
England and Wales,2010,Tertiary treatment,Percentage,49.9
England and Wales,2014,Tertiary treatment,Percentage,56.9
Slovak Republic,1980,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,27.31999969
Slovak Republic,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,50.5
Slovak Republic,2005,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,55.15999985
Slovak Republic,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,58.93000031
Slovak Republic,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,59.97999954
Slovak Republic,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,61.02000046
Slovak Republic,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,62.09
Slovak Republic,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,63.69
Slovak Republic,2015,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,64.5
Slovak Republic,2016,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,65.83
Slovak Republic,2017,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,67.2
Korea,2000,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Korea,2005,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Korea,2010,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Korea,2011,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Korea,2012,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Korea,2013,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Greece,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,87.4
Greece,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,88.2
Greece,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,92.03
Greece,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,92.83
Greece,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,92.83
Greece,2015,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,93.4
Greece,2016,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,93.44
Turkey,2000,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,26.29999924
Turkey,2005,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,42.09999847
Turkey,2010,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,52.09999847
Turkey,2012,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,58.29999924
Turkey,2013,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,63.70000076
Turkey,2014,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,64
Turkey,2015,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,69.90000153
Turkey,2016,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,70.69999695
Netherlands,1970,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,44
Netherlands,1980,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,72.40000153
Netherlands,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,98.15000153
Netherlands,2005,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99
Netherlands,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99.3
Netherlands,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99.4
Netherlands,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99.5
Netherlands,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99.4
Netherlands,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99.4
Netherlands,2015,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99.4
Netherlands,2016,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99.5
Netherlands,2017,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,99.5
Austria,2000,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Austria,2010,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Austria,2012,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Austria,2014,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Austria,2016,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,100
Czech Republic,1970,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,54.5
Czech Republic,1980,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,64.2
Czech Republic,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,64
Czech Republic,2005,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,73
Czech Republic,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,77
Czech Republic,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,78.2
Czech Republic,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,78.1
Czech Republic,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,80
Czech Republic,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,79.9
Czech Republic,2015,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,80.8
Czech Republic,2016,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,81.3
Czech Republic,2017,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,82.4
Luxembourg,1970,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,28
Luxembourg,1980,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,81
Luxembourg,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,95.7
Luxembourg,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,95
Luxembourg,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,98.1
Luxembourg,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,98.2
Luxembourg,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,98.5
Luxembourg,2015,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,98.5
Luxembourg,2016,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,98.5
Luxembourg,2017,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,98.6
England and Wales,1980,Connected to a wastewater treatment plant without treatment,Percentage,13
England and Wales,2000,Connected to a wastewater treatment plant without treatment,Percentage,2
England and Wales,2005,Connected to a wastewater treatment plant without treatment,Percentage,0
England and Wales,2010,Connected to a wastewater treatment plant without treatment,Percentage,0.4
Luxembourg,2010,Connected to a wastewater treatment plant without treatment,Percentage,1.4
Luxembourg,2011,Connected to a wastewater treatment plant without treatment,Percentage,4
Luxembourg,2012,Connected to a wastewater treatment plant without treatment,Percentage,1.9
Luxembourg,2013,Connected to a wastewater treatment plant without treatment,Percentage,1.8
Luxembourg,2014,Connected to a wastewater treatment plant without treatment,Percentage,0
Luxembourg,2015,Connected to a wastewater treatment plant without treatment,Percentage,0
Luxembourg,2016,Connected to a wastewater treatment plant without treatment,Percentage,0
Luxembourg,2017,Connected to a wastewater treatment plant without treatment,Percentage,1.4
Portugal,1980,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,22.29999924
Portugal,2005,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,70
Iceland,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,33
Iceland,2005,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,57
Iceland,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,66
Chile,2005,Secondary treatment,Percentage,2.200000048
Chile,2010,Secondary treatment,Percentage,4.242800236
Chile,2011,Secondary treatment,Percentage,4.168799877
Chile,2012,Secondary treatment,Percentage,4.3
Chile,2013,Secondary treatment,Percentage,4.3
Chile,2014,Secondary treatment,Percentage,4.4
Chile,2015,Secondary treatment,Percentage,4.4
Chile,2016,Secondary treatment,Percentage,4.57
Chile,2017,Secondary treatment,Percentage,4.92
Norway,1970,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,36
Norway,1980,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,54
Norway,2000,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,94.09999847
Norway,2005,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,95.74
Norway,2010,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,97.4
Norway,2011,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,97.5
Norway,2012,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,97.7
Norway,2013,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,97.6
Norway,2014,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,97.5
Norway,2015,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,98.9
Norway,2016,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,99.4
Norway,2017,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,98.9
Germany,2005,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,97.3
Germany,2010,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,99.30000305
Germany,2011,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,99.40000153
Germany,2012,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,99.40000153
Germany,2013,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,99.30000305
Germany,2014,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,99.40000153
Germany,2015,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,99.30000305
Germany,2016,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,99.19999695
Turkey,2000,Population connected to independent treatment,Percentage,0
Turkey,2005,Population connected to independent treatment,Percentage,0
Turkey,2010,Population connected to independent treatment,Percentage,0
Turkey,2012,Population connected to independent treatment,Percentage,0
Turkey,2013,Population connected to independent treatment,Percentage,0
Turkey,2014,Population connected to independent treatment,Percentage,0
Turkey,2015,Population connected to independent treatment,Percentage,0
Turkey,2016,Population connected to independent treatment,Percentage,0
Finland,1970,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,27
Finland,1980,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,65
Finland,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,80
Finland,2010,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,83
Finland,2011,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,83
Finland,2012,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,83
Finland,2013,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,83
Finland,2014,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,85
Ireland,2011,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,96
Ireland,2012,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,92.9
Ireland,2013,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,92.33000183
Ireland,2014,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,92.73000336
Ireland,2015,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,93.33000183
Ireland,2016,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,95.2
Ireland,2017,Total treatment ( = PUBTOTTR + INDEPDTR),Percentage,93.7
Norway,1970,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,21
Norway,1980,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,34
Norway,2000,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Percentage,74.1
